pf1,pf2,overlap_nuc,within_pareto,zscore_dist,seconds
PF00004,PF00009,13,1,-1.8771929144432482,89.3504707813263
PF00004,PF00009,16,1,-2.178656051555119,73.30742144584656
PF00004,PF00009,19,1,-2.2146607175529387,73.6972963809967
PF00004,PF00009,22,1,-1.7023466957582791,74.49012756347656
PF00004,PF00009,25,1,-1.7372412530017396,74.6865656375885
PF00004,PF00009,28,1,-2.1224722716791593,74.53650689125061
PF00004,PF00009,31,1,-1.7017736858562849,74.72250938415527
PF00004,PF00009,34,1,-1.6646327477388916,75.46433210372925
PF00004,PF00009,37,1,-1.901472530576433,75.4521996974945
PF00004,PF00009,40,1,-1.780964158741149,75.93373727798462
PF00004,PF00009,43,1,-1.647504976783202,75.9771900177002
PF00004,PF00009,46,1,-1.4967152336426526,76.34763932228088
PF00004,PF00009,49,1,-1.3957043334055084,76.50591731071472
PF00004,PF00009,52,1,-1.7038827977408768,76.55531001091003
PF00004,PF00009,55,1,-1.2941518550835296,76.72397494316101
PF00004,PF00009,58,1,-1.506669861854174,77.17044949531555
PF00004,PF00009,61,1,-1.3077396187271293,77.34682536125183
PF00004,PF00009,64,1,-1.4519928872724097,76.53945231437683
PF00004,PF00009,67,1,-1.2908050798632416,77.15277791023254
PF00004,PF00009,70,1,-1.3988504183405481,77.71997284889221
PF00004,PF00009,73,1,-1.1819345904812877,77.72939276695251
PF00004,PF00009,76,1,-1.4433190034780516,77.68347430229187
PF00004,PF00009,79,1,-1.3695935153373342,77.74528646469116
PF00004,PF00009,82,1,-1.2646414509703305,78.01899528503418
PF00004,PF00009,85,1,-1.4358359939129823,78.38410592079163
PF00004,PF00009,88,1,-1.235205397632279,78.54972076416016
PF00004,PF00009,91,1,-1.1497149835678047,78.56599450111389
PF00004,PF00009,94,1,-1.1845595612347002,78.61355996131897
PF00004,PF00009,97,1,-0.9562342796006512,79.20108771324158
PF00004,PF00009,100,1,-1.0460079484465363,79.30126094818115
PF00004,PF00009,103,1,-1.1216816811749226,79.30256915092468
PF00004,PF00009,106,1,-0.9826652238279004,79.8901219367981
PF00004,PF00009,109,1,-0.8145483114155395,79.90484070777893
PF00004,PF00009,112,1,-0.967331938044002,80.47627544403076
PF00004,PF00009,115,1,-0.9710332081557181,80.99254035949707
PF00004,PF00009,118,1,-0.9582266980719171,81.7337384223938
PF00004,PF00009,121,1,-1.0922334797629643,80.94305372238159
PF00004,PF00009,124,1,-0.5174217141317752,81.03495264053345
PF00004,PF00009,127,1,-0.8762424939141079,81.27350783348083
PF00004,PF00009,130,1,-0.8070823647139297,81.88210225105286
PF00004,PF00009,133,1,-0.8950286361176686,81.87504029273987
PF00004,PF00009,136,1,-0.7957409441152004,82.24244403839111
PF00004,PF00009,139,1,-0.8198799471081858,82.76602363586426
PF00004,PF00009,142,1,-0.9954125565087489,82.48843741416931
PF00004,PF00009,145,1,-0.8330989832157768,82.72606754302979
PF00004,PF00009,148,1,-0.7145234821216632,82.77614235877991
PF00004,PF00009,151,1,-0.7647481349077592,82.76206493377686
PF00004,PF00009,154,1,-0.1813721047980696,83.28331780433655
PF00004,PF00009,157,1,-0.4147612740233601,83.31770086288452
PF00004,PF00009,160,1,-0.5989817549997741,83.76244354248047
PF00004,PF00009,163,1,-0.47613424061222953,83.70683670043945
PF00004,PF00009,166,1,-0.745218783072612,84.06683945655823
