pf1,pf2,overlap_nuc,within_pareto,zscore_dist,seconds
PF00004,PF00009,12,1,-1.9712693899687468,95.42607975006104
PF00004,PF00009,42,1,-1.7648935715831515,79.67578506469727
PF00004,PF00009,72,1,-1.3101717193855529,81.48840475082397
PF00004,PF00009,102,1,-1.203474510376436,82.88589978218079
PF00004,PF00009,132,1,-0.8614495250673633,84.76338171958923
PF00004,PF00009,162,1,-0.5150353299767597,86.70192074775696
PF00004,PF00009,192,0,0.31447265661353024,87.49875783920288
PF00004,PF00009,222,0,0.8985907540732421,90.25373554229736
PF00004,PF00009,252,0,1.219062800594734,91.73238563537598
PF00004,PF00009,282,0,2.3221198138220065,94.80759572982788
PF00004,PF00009,312,0,1.7923305229949167,97.54085206985474
PF00004,PF00009,32,1,-1.6046077117578648,96.67134165763855
PF00004,PF00009,62,1,-0.8106515566572913,81.0857162475586
PF00004,PF00009,92,1,-0.688262605243913,82.51352047920227
PF00004,PF00009,122,1,-0.17584211966268118,83.87569499015808
PF00004,PF00009,152,0,0.4296037338772133,85.85250973701477
PF00004,PF00009,182,0,0.523794186489917,87.7715573310852
PF00004,PF00009,212,0,0.9496288200436264,88.49044466018677
PF00004,PF00009,242,0,1.855369948155981,91.39603400230408
PF00004,PF00009,272,0,1.9048908964220597,92.79188346862793
PF00004,PF00009,302,0,2.1555646500710828,95.9540593624115
PF00004,PF00009,22,1,-2.2339576031503685,53.54186820983887
PF00004,PF00009,52,1,-1.4244469791916312,45.11669945716858
PF00004,PF00009,82,1,-1.3239617997878554,45.8508677482605
PF00004,PF00009,112,1,-1.141287956389319,46.310333013534546
PF00004,PF00009,142,1,-1.0878173000390634,47.154574394226074
PF00004,PF00009,172,1,-0.7749628031051404,47.65378451347351
PF00004,PF00009,202,1,-0.21927816276209675,48.55397319793701
PF00004,PF00009,232,0,0.2582820854678087,49.49159622192383
PF00004,PF00009,262,0,0.41764672971721406,50.29671859741211
PF00004,PF00009,292,0,0.4496488875412646,51.20069646835327
PF00004,PF00009,322,0,0.2648397606723298,52.268168687820435
PF00004,PF00011,12,1,-2.6241807465399782,75.79659223556519
PF00004,PF00011,42,1,-1.7997082262016149,62.4139769077301
PF00004,PF00011,72,1,-1.2172655493539053,64.84978985786438
PF00004,PF00011,102,1,-0.8739933634904125,65.3342957496643
PF00004,PF00011,132,1,-0.8760983713908809,66.38802671432495
PF00004,PF00011,162,1,-0.3240293812727691,68.81532740592957
PF00004,PF00011,192,0,0.09580998701220467,71.06072092056274
PF00004,PF00011,222,0,0.8214264433715958,74.56630349159241
PF00004,PF00011,32,1,-1.5252534432083513,77.14827680587769
PF00004,PF00011,62,1,-1.4139550712999434,62.79178595542908
PF00004,PF00011,92,1,-0.8694084176755408,63.3909637928009
PF00004,PF00011,122,1,-0.7046099625638492,64.37358331680298
PF00004,PF00011,152,0,0.03745530773826251,65.20060110092163
PF00004,PF00011,182,0,0.14368249894544907,67.51139998435974
PF00004,PF00011,212,0,1.2098757663581428,69.55845046043396
PF00004,PF00011,22,1,-2.8065760917367286,75.81053948402405
PF00004,PF00011,52,1,-1.9739629176961462,62.16463041305542
PF00004,PF00011,82,1,-1.8120013371257737,62.7787401676178
PF00004,PF00011,112,1,-1.4006414801549496,63.29578900337219
PF00004,PF00011,142,1,-1.3503015667289562,64.17037200927734
PF00004,PF00011,172,1,-1.3860828149820479,68.05824255943298
PF00004,PF00011,202,1,-0.7265312583138717,68.71473407745361
PF00004,PF00011,232,1,-0.13033588019039216,70.71422672271729
PF00004,PF00013,12,1,-2.0830509957463783,67.27152967453003
PF00004,PF00013,42,1,-1.5813411696726445,55.157631397247314
PF00004,PF00013,72,1,-1.147187805747842,56.377283573150635
PF00004,PF00013,102,1,-0.6572716120638316,57.95921087265015
PF00004,PF00013,132,1,-0.5150369060748178,58.83732604980469
PF00004,PF00013,162,0,0.0794105474223301,60.08848237991333
PF00004,PF00013,32,1,-1.8341759015157548,68.80303239822388
PF00004,PF00013,62,1,-1.3512163552767127,55.853673219680786
PF00004,PF00013,92,1,-0.61067427196341,56.825899600982666
PF00004,PF00013,122,1,-0.14527945000993508,58.409451484680176
PF00004,PF00013,152,0,0.18120382687087594,59.34130311012268
PF00004,PF00013,22,1,-2.7790618597024035,68.48590397834778
PF00004,PF00013,52,1,-2.3838647456930406,55.12181043624878
PF00004,PF00013,82,1,-1.6891491930221623,56.43161058425903
PF00004,PF00013,112,1,-1.4363321461238012,57.511794328689575
PF00004,PF00013,142,1,-1.161556157886548,58.58025932312012
PF00004,PF00017,12,1,-2.0948750909009335,41.873589277267456
PF00004,PF00017,42,1,-1.6163060414500776,34.3422577381134
PF00004,PF00017,72,1,-1.3068071581219916,35.231130599975586
PF00004,PF00017,102,1,-0.6325100929365697,35.363245248794556
PF00004,PF00017,132,1,-0.16278227389534147,36.596235513687134
PF00004,PF00017,162,0,0.41581810182077766,37.691174030303955
PF00004,PF00017,192,0,0.7699417827410163,38.55283188819885
PF00004,PF00017,32,1,-1.3982783377533716,73.8026430606842
PF00004,PF00017,62,1,-0.6124622626215497,60.81243085861206
PF00004,PF00017,92,1,-0.24812168178088473,61.502198457717896
PF00004,PF00017,122,0,0.37530149612553565,62.30906081199646
PF00004,PF00017,152,0,0.952267114360239,63.975871086120605
PF00004,PF00017,182,0,1.6921039821033566,66.21115207672119
PF00004,PF00017,212,0,1.9593735301760442,68.24722671508789
PF00004,PF00017,22,1,-1.8826487267479566,72.73378872871399
PF00004,PF00017,52,1,-1.4800641771204706,59.12093544006348
PF00004,PF00017,82,1,-0.938989430062895,60.9911789894104
PF00004,PF00017,112,1,-0.8186206464146906,61.39041447639465
PF00004,PF00017,142,1,-0.5002915762885696,62.73880910873413
PF00004,PF00017,172,1,-0.02243332745824399,64.315833568573
PF00004,PF00017,202,0,0.3917768654122684,65.78559803962708
PF00004,PF00018,12,1,-1.9039105406445813,63.3348126411438
PF00004,PF00018,42,1,-1.7475301808410069,50.25441765785217
PF00004,PF00018,72,1,-1.1999707259970516,51.310264587402344
PF00004,PF00018,102,1,-0.2640675263172191,53.14148831367493
PF00004,PF00018,32,1,-1.6651960135034418,63.81202268600464
PF00004,PF00018,62,1,-0.9862410976154244,51.82683277130127
PF00004,PF00018,92,1,-0.15609551530682644,53.356754302978516
PF00004,PF00018,122,0,0.43128793349977773,55.1846923828125
PF00004,PF00018,22,1,-1.9112907894043403,63.28113603591919
PF00004,PF00018,52,1,-1.655666610907915,51.08440017700195
PF00004,PF00018,82,1,-1.4879130969022323,51.82166790962219
PF00004,PF00018,112,1,-0.7576272654406458,53.329060316085815
PF00004,PF00041,12,1,-3.095219484705684,73.32466530799866
PF00004,PF00041,42,1,-2.149078984091179,60.37946605682373
PF00004,PF00041,72,1,-2.0909701832873053,61.05364012718201
PF00004,PF00041,102,1,-1.6770796436066735,63.05124354362488
PF00004,PF00041,132,1,-0.9445155513284318,64.14392042160034
PF00004,PF00041,162,1,-1.0002532187238253,65.53019738197327
PF00004,PF00041,192,1,-0.3631871762545709,67.41436505317688
PF00004,PF00041,32,1,-2.615301303229703,42.40573215484619
PF00004,PF00041,62,1,-1.614686829503914,34.617597818374634
PF00004,PF00041,92,1,-1.3802704592574049,35.064711809158325
PF00004,PF00041,122,1,-0.9078381498373315,35.589518547058105
PF00004,PF00041,152,1,-0.41419607524785323,36.96192646026611
PF00004,PF00041,182,1,-0.3457261007986798,37.40796399116516
PF00004,PF00041,212,0,0.603811131778925,38.606393814086914
PF00004,PF00041,22,1,-2.058085704176149,71.48239731788635
PF00004,PF00041,52,1,-1.92713687626709,58.86922311782837
PF00004,PF00041,82,1,-1.7964192834169859,59.80273485183716
PF00004,PF00041,112,1,-1.6049129921802057,61.02347803115845
PF00004,PF00041,142,1,-1.6238363719060647,63.06795907020569
PF00004,PF00041,172,1,-1.504654294114654,64.97519254684448
PF00004,PF00041,202,1,-1.0246073951213548,67.61061906814575
PF00004,PF00072,12,1,-2.242927992682439,83.7202627658844
PF00004,PF00072,42,1,-2.3914055941070633,69.16172647476196
PF00004,PF00072,72,1,-1.8443472775478011,70.88324666023254
PF00004,PF00072,102,1,-1.6529905204609303,72.69007515907288
PF00004,PF00072,132,1,-1.5273749829256913,74.0325539112091
PF00004,PF00072,162,1,-1.0528551272932913,77.32790279388428
PF00004,PF00072,192,1,-0.596279103521234,80.31721472740173
PF00004,PF00072,222,1,-0.3893187652056949,82.34434461593628
PF00004,PF00072,252,1,-0.05789468706269482,84.77816367149353
PF00004,PF00072,282,0,0.43556835169606534,87.53245902061462
PF00004,PF00072,312,0,0.9803286248892632,90.87700605392456
PF00004,PF00072,32,1,-1.9430835012025618,84.76350140571594
PF00004,PF00072,62,1,-1.760077452852429,70.38829445838928
PF00004,PF00072,92,1,-1.4906102792503195,72.00069642066956
PF00004,PF00072,122,1,-1.253302944898032,73.73594999313354
PF00004,PF00072,152,1,-0.6165949187466664,74.92708730697632
PF00004,PF00072,182,1,-0.20309511987555562,78.05094933509827
PF00004,PF00072,212,0,0.006690467264372271,79.97466969490051
PF00004,PF00072,242,0,0.3680114025005641,82.96822810173035
PF00004,PF00072,272,0,1.0777126123157623,86.41970705986023
PF00004,PF00072,302,0,1.3459155376947134,89.51556348800659
PF00004,PF00072,22,1,-2.1496712166833847,84.33795952796936
PF00004,PF00072,52,1,-1.915111899924952,69.57957530021667
PF00004,PF00072,82,1,-1.855762965604419,70.90402340888977
PF00004,PF00072,112,1,-1.7379165032077297,72.46991348266602
PF00004,PF00072,142,1,-1.9822859860734474,73.76119780540466
PF00004,PF00072,172,1,-1.5852080411780696,75.87938404083252
PF00004,PF00072,202,1,-1.2316433592273888,77.51446533203125
PF00004,PF00072,232,1,-1.3401942435392318,79.93174052238464
PF00004,PF00072,262,1,-1.1483786466630221,82.1597011089325
PF00004,PF00072,292,1,-0.8485280571917937,84.39613270759583
PF00004,PF00076,12,1,-2.5622738099116087,65.98891758918762
PF00004,PF00076,42,1,-1.8243325300751896,54.47397255897522
PF00004,PF00076,72,1,-1.4259265308598439,55.681657791137695
PF00004,PF00076,102,1,-0.5823433898211354,57.737154483795166
PF00004,PF00076,132,1,-0.6115013055134372,59.62030220031738
PF00004,PF00076,162,1,-0.18154240327039559,62.180131673812866
PF00004,PF00076,32,1,-1.7060231713802332,67.24542474746704
PF00004,PF00076,62,1,-0.9489780186982985,55.77863574028015
PF00004,PF00076,92,1,-0.5444366109892841,56.765015840530396
PF00004,PF00076,122,0,0.19596270760243886,58.56551909446716
PF00004,PF00076,152,0,0.23765433610172015,60.21751427650452
PF00004,PF00076,22,1,-1.9928599622754093,65.87675595283508
PF00004,PF00076,52,1,-1.8784006977964305,54.624675035476685
PF00004,PF00076,82,1,-1.7346889034354092,55.737470626831055
PF00004,PF00076,112,1,-1.4522077256219375,57.274027585983276
PF00004,PF00076,142,1,-1.1009245329668764,58.91736173629761
PF00004,PF00096,12,1,-1.7808844384362814,58.766623973846436
PF00004,PF00096,42,1,-1.6960872471556592,47.028422832489014
PF00004,PF00096,32,1,-1.101281238854785,59.89805483818054
PF00004,PF00096,62,1,-0.5219061145030984,47.93564414978027
PF00004,PF00096,22,1,-2.548846861547572,59.64540219306946
PF00004,PF00096,52,1,-1.3902302912451696,46.90720772743225
PF00004,PF00153,12,1,-1.9274032655981084,43.26032638549805
PF00004,PF00153,42,1,-1.7912333937992417,36.49844455718994
PF00004,PF00153,72,1,-1.369255646049152,37.34441375732422
PF00004,PF00153,102,1,-0.5511586366363329,37.714319705963135
PF00004,PF00153,132,1,-0.2577435428164601,38.888816833496094
PF00004,PF00153,162,1,-0.11649575270180365,39.99122738838196
PF00004,PF00153,192,0,0.37150106084329415,41.13059997558594
PF00004,PF00153,222,0,0.6293312361227194,42.44075083732605
PF00004,PF00153,32,1,-1.6792996607047384,75.40886998176575
PF00004,PF00153,62,1,-0.9237931344802797,62.92054605484009
PF00004,PF00153,92,1,-0.5517048981413657,63.833293199539185
PF00004,PF00153,122,1,-0.060154563658592154,65.46816062927246
PF00004,PF00153,152,0,0.1588997413013181,67.1501796245575
PF00004,PF00153,182,0,0.7603872264803646,69.38812351226807
PF00004,PF00153,212,0,1.3525892403182576,72.19197082519531
PF00004,PF00153,242,0,1.3741968083718852,75.18266129493713
PF00004,PF00153,22,1,-1.7836734500317728,74.61643099784851
PF00004,PF00153,52,1,-1.4897464566602698,61.901432275772095
PF00004,PF00153,82,1,-1.5144877087030677,62.846726179122925
PF00004,PF00153,112,1,-1.001192415254308,64.07777500152588
PF00004,PF00153,142,1,-0.865495309278567,65.15405535697937
PF00004,PF00153,172,1,-0.9611532317234677,66.94854235649109
PF00004,PF00153,202,1,-0.07910621060169565,69.16842436790466
PF00004,PF00153,232,1,-0.03163751508342548,71.36299896240234
PF00004,PF00271,12,1,-2.1843127401701197,78.49861931800842
PF00004,PF00271,42,1,-1.852250659262813,65.56838655471802
PF00004,PF00271,72,1,-1.7869106387931613,66.71432280540466
PF00004,PF00271,102,1,-1.494502128280535,68.14941906929016
PF00004,PF00271,132,1,-1.6443457016034309,69.81291055679321
PF00004,PF00271,162,1,-1.004790455155775,71.85630130767822
PF00004,PF00271,192,1,-0.4885881253425126,74.55836415290833
PF00004,PF00271,222,0,0.24456731412348617,76.96155405044556
PF00004,PF00271,252,0,0.18219424670678258,80.78162837028503
PF00004,PF00271,32,1,-1.8584971065998952,79.37715530395508
PF00004,PF00271,62,1,-1.6230764147420973,66.20465111732483
PF00004,PF00271,92,1,-1.6021611564243325,67.51948404312134
PF00004,PF00271,122,1,-1.0581354460587895,68.64439797401428
PF00004,PF00271,152,1,-0.6988027456946495,70.22707891464233
PF00004,PF00271,182,1,-0.27325173390503715,72.51501774787903
PF00004,PF00271,212,0,0.6865364613726311,74.80580997467041
PF00004,PF00271,242,0,0.6706028184790231,77.16623091697693
PF00004,PF00271,272,0,1.267346656942627,81.51255130767822
PF00004,PF00271,22,1,-1.8783594692192955,77.75647807121277
PF00004,PF00271,52,1,-1.8280528986304276,64.63832354545593
PF00004,PF00271,82,1,-1.815792986930507,67.35318231582642
PF00004,PF00271,112,1,-1.5236686977506702,67.7718436717987
PF00004,PF00271,142,1,-1.667858242599702,69.24725937843323
PF00004,PF00271,172,1,-1.3509823289262712,71.00060749053955
PF00004,PF00271,202,1,-0.8653902880049688,72.99426937103271
PF00004,PF00271,232,1,-0.7836373290960147,75.32849431037903
PF00004,PF00271,262,1,-0.5344205602041141,78.45690679550171
PF00004,PF00397,12,1,-1.914265294192399,57.301379442214966
PF00004,PF00397,42,1,-1.2199647032397332,47.860474586486816
PF00004,PF00397,72,1,-0.4067237822012925,49.36328387260437
PF00004,PF00397,32,1,-0.8319037850912184,58.9167959690094
PF00004,PF00397,62,1,-0.5987810376500993,49.28509020805359
PF00004,PF00397,22,1,-1.7989523047630382,57.66192650794983
PF00004,PF00397,52,1,-0.8130535185596645,47.87411022186279
PF00004,PF00512,12,1,-1.9746781876378385,66.42213487625122
PF00004,PF00512,42,1,-1.4803586733613963,55.67084550857544
PF00004,PF00512,72,1,-1.459296959911354,56.60366749763489
PF00004,PF00512,102,1,-1.3949669893812375,57.53075695037842
PF00004,PF00512,132,1,-1.1643741092943345,59.57304549217224
PF00004,PF00512,162,1,-0.5670708039079068,62.653908014297485
PF00004,PF00512,32,1,-1.5857712303507296,67.36172103881836
PF00004,PF00512,62,1,-1.0340971314429557,56.05584383010864
PF00004,PF00512,92,1,-0.814982866471534,57.071743965148926
PF00004,PF00512,122,1,-0.44182086690171146,58.787062883377075
PF00004,PF00512,152,1,-0.3881950605211205,60.42314434051514
PF00004,PF00512,22,1,-2.5359386779267394,38.689351320266724
PF00004,PF00512,52,1,-1.7439226861069606,32.15098285675049
PF00004,PF00512,82,1,-1.7574020600261016,32.743430852890015
PF00004,PF00512,112,1,-1.7238534786486128,33.07795429229736
PF00004,PF00512,142,1,-1.5029883562858954,34.207335472106934
PF00004,PF00512,172,1,-1.2452617981884395,35.1548855304718
PF00004,PF00595,12,1,-2.7528628631020498,69.68573260307312
PF00004,PF00595,42,1,-1.8470202362922825,58.18971657752991
PF00004,PF00595,72,1,-1.4533772253015995,59.656710624694824
PF00004,PF00595,102,1,-1.0182767459452429,61.261099100112915
PF00004,PF00595,132,1,-0.6141404936297222,63.137417793273926
PF00004,PF00595,162,0,0.5026544444483748,65.66673803329468
PF00004,PF00595,192,0,0.9076002257509177,67.90730905532837
PF00004,PF00595,32,1,-1.68086528716389,69.50880312919617
PF00004,PF00595,62,1,-1.164154908503865,58.95483350753784
PF00004,PF00595,92,1,-0.6165934310383223,60.22937488555908
PF00004,PF00595,122,0,0.07285272745223617,62.7675461769104
PF00004,PF00595,152,0,0.2052196150919779,64.32163691520691
PF00004,PF00595,182,0,0.9207745549721823,66.83578681945801
PF00004,PF00595,22,1,-1.965949290337672,69.6949691772461
PF00004,PF00595,52,1,-1.849387997967965,57.98522114753723
PF00004,PF00595,82,1,-1.632060375679259,59.30162334442139
PF00004,PF00595,112,1,-1.2389934447957085,60.863168239593506
PF00004,PF00595,142,1,-1.0313744274123837,62.66190791130066
PF00004,PF00595,172,1,-0.7476746958741618,65.00636196136475
PF00004,PF00595,202,1,-0.5841887293850859,66.71126174926758
PF00004,PF02518,12,1,-2.4581376240453507,80.84711909294128
PF00004,PF02518,42,1,-1.8796784527325847,67.94185996055603
PF00004,PF02518,72,1,-2.275125690730414,69.2580955028534
PF00004,PF02518,102,1,-1.690270520069526,71.19855046272278
PF00004,PF02518,132,1,-1.3500350157355931,73.50538039207458
PF00004,PF02518,162,1,-0.9462516058442059,75.46987891197205
PF00004,PF02518,192,1,-0.5458313586579854,79.12742757797241
PF00004,PF02518,222,0,0.10196527586553868,79.76147842407227
PF00004,PF02518,252,1,-0.11096929333451411,81.99761319160461
PF00004,PF02518,282,0,0.4064417155931949,85.0350730419159
PF00004,PF02518,32,1,-2.064643249645113,81.17125296592712
PF00004,PF02518,62,1,-1.836668897072936,67.70151138305664
PF00004,PF02518,92,1,-1.5081022438265188,69.27611899375916
PF00004,PF02518,122,1,-0.8565762313861958,70.96070837974548
PF00004,PF02518,152,1,-1.2135521507457645,72.4406852722168
PF00004,PF02518,182,1,-0.19329471600068068,75.0418746471405
PF00004,PF02518,212,0,0.2279866334064267,78.29706931114197
PF00004,PF02518,242,0,1.168454473809639,80.08142232894897
PF00004,PF02518,272,0,1.1969499034479791,83.06466579437256
PF00004,PF02518,22,1,-2.900365148248287,79.28463244438171
PF00004,PF02518,52,1,-1.9181364502567662,67.3787477016449
PF00004,PF02518,82,1,-1.7085058247938305,68.46420979499817
PF00004,PF02518,112,1,-1.7537424467156002,70.18726706504822
PF00004,PF02518,142,1,-1.4892889424153009,71.66873073577881
PF00004,PF02518,172,1,-1.3227118256823471,73.07612991333008
PF00004,PF02518,202,1,-1.103442319999092,76.8355438709259
PF00004,PF02518,232,1,-1.131734853473174,76.96480369567871
PF00004,PF02518,262,1,-0.9949673473095195,79.82721304893494
PF00004,PF02518,292,1,-0.41890497178677755,81.78005599975586
PF00004,PF07679,12,1,-3.957286604704612,42.3079092502594
PF00004,PF07679,42,1,-2.170136174866724,35.12524700164795
PF00004,PF07679,72,1,-1.7923971975875312,35.87151265144348
PF00004,PF07679,102,1,-1.4101176774327353,36.855592250823975
PF00004,PF07679,132,1,-1.0249082559812601,37.81060004234314
PF00004,PF07679,162,1,-0.42853201662234847,39.024165630340576
PF00004,PF07679,192,1,-0.05701736351867138,40.373804569244385
PF00004,PF07679,222,0,0.04560149633201447,41.72685742378235
PF00004,PF07679,32,1,-1.8127371577248281,76.88780808448792
PF00004,PF07679,62,1,-1.58749932662654,62.74128818511963
PF00004,PF07679,92,1,-0.8881811430670042,63.41716146469116
PF00004,PF07679,122,1,-0.7153745336511022,64.65452265739441
PF00004,PF07679,152,1,-0.15450068834850486,66.36622452735901
PF00004,PF07679,182,1,-0.04016559388870963,68.53963708877563
PF00004,PF07679,212,0,1.0428086884657253,70.7933931350708
PF00004,PF07679,22,1,-1.8627865397703052,72.51421618461609
PF00004,PF07679,52,1,-1.8402903243808466,60.407015562057495
PF00004,PF07679,82,1,-1.855230397949934,61.08441925048828
PF00004,PF07679,112,1,-1.6110098157619512,62.51142930984497
PF00004,PF07679,142,1,-1.2058757991198374,63.44478225708008
PF00004,PF07679,172,1,-1.2559736230889573,65.10395383834839
PF00004,PF07679,202,1,-0.6421286912750982,66.88559222221375
PF00009,PF00011,12,1,-2.7563029283662885,97.67274951934814
PF00009,PF00011,42,1,-1.8784492528250234,80.88207125663757
PF00009,PF00011,72,1,-1.1664650119454107,82.3729658126831
PF00009,PF00011,102,1,-0.5896830820404492,84.20713973045349
PF00009,PF00011,132,1,-0.8050573853471624,85.84819197654724
