,len_aa,u,sem_u,u_plus2,u_plus1,plus2_minus_plus1,sem_diff,p_u,p_diff,easier
PF00096,23,0.3762362366355585,0.033737061361963784,0.4119618399208484,0.3405106333502686,0.0714512065705798,0.047828094063981384,7.000239193464941e-29,0.1351972939154196,upstream
PF00397,28,0.20402901506528542,0.029924956959248777,0.143031684065251,0.26502634606531983,-0.12199466200006884,0.045997523917613505,9.23025069503324e-12,0.00799690077859323,upstream
PF00009,162,0.19004136621594878,0.01934403001175488,0.19659284260125423,0.18348988983064332,0.01310295277061091,0.02426034250642562,8.849515338487637e-23,0.5891297255120777,upstream
PF00512,62,0.1477614877468109,0.019454203531455116,0.26287008282970487,0.03265289266391691,0.23021719016578795,0.0364900872581593,3.069612607683446e-14,2.807829841373421e-10,upstream
PF00011,82,0.02489962503219903,0.013599300955188087,-0.0006817698525825068,0.05048101991698056,-0.051162789769563066,0.018175385093774574,0.0671081715877769,0.004878491115833001,--
PF00595,71,0.011194238209220556,0.014552094321047605,-0.05179613359662713,0.07418461001506824,-0.12598074361169537,0.03277385124034366,0.44174329595980255,0.00012107422964483738,--
PF00013,58,0.00748100760340865,0.01118039472947261,0.007415586994693693,0.007546428212123607,-0.00013084121742991395,0.027181040167838802,0.5034199665353658,0.9961592424907685,--
PF00017,75,0.0021454621726774105,0.01779862276205169,-0.07540965218445289,0.07970057652980772,-0.1551102287142606,0.02423790078251446,0.9040546749165514,1.5589573528392964e-10,--
PF00004,110,-0.021171819266135043,0.027178014918126395,-0.00789911153676948,-0.0344445269955006,0.026545415458731122,0.017443714766545118,0.4359765579808095,0.12806537542365115,--
PF00018,43,-0.021794934302794847,0.03185531739356433,-0.10345285983305064,0.05986299122746094,-0.16331585106051158,0.02921017309610674,0.49385827420832795,2.2568665096604585e-08,--
PF00076,59,-0.025882260069023305,0.01584815764398872,-0.0779509782944067,0.026186458156360094,-0.10413743645076678,0.041015925524021536,0.10243955695305679,0.011118530659245559,--
PF02518,101,-0.05665111047982418,0.026484766754134862,0.06139648387870276,-0.17469870483835112,0.23609518871705387,0.030799982122689647,0.03243507394056116,1.7822936668530494e-14,downstream
PF00153,85,-0.0748135088415674,0.014077273222543955,-0.15016631360813143,0.00053929592499663,-0.15070560953312806,0.014537899598381048,1.069572449858297e-07,3.525758815766567e-25,downstream
PF00072,108,-0.07791696750173899,0.02452103123615401,0.022993731378401203,-0.1788276663818792,0.2018213977602804,0.03174238679177466,0.0014852163751188383,2.042591117258415e-10,downstream
PF07679,76,-0.10322969547981027,0.018132047148672493,-0.15381021129684205,-0.05264917966277848,-0.10116103163406356,0.03377817530489145,1.2466711417478966e-08,0.002745674883218428,downstream
PF00041,74,-0.15945135670568666,0.0201326957058394,-0.08030958556635899,-0.23859312784501435,0.15828354227865538,0.04413742412613284,2.3747199477378775e-15,0.0003355925075959776,downstream
PF00271,95,-0.4228767860345285,0.04010381011164051,-0.40478563589963423,-0.44096793616942276,0.036182300269788525,0.022968773183510444,5.382771538200845e-26,0.11519131354846489,downstream
